2,,Name,Number,State,RegisteredDate
108,,ADDU PEOPLE'S CO-OPERATIVE SOCIETY,CS-0010/2016,Registered,25-Oct-2016
109,,MALDIVES WOMEN'S CHAMBER OF COMMERCE,CS-0011/2016,Registered,17-Nov-2016
110,,PLATINUM RESIDENCES A1 AND A2 COOPERATIVE SOCIETY,CS-0005/2017,Registered,07-Aug-2017
111,,PLATINUM RESIDENCES B1 AND B2 COOPERATIVE SOCIETY,CS-0006/2017,Registered,07-Aug-2017
112,,GEAR COOPERATIVE SOCIETY,CS-0008/2017,Registered,23-Aug-2017
113,,KATOLLA COOPERATIVE SOCIETY,CS-0007/2013,Registered,19-Aug-2013
114,,R. KINOLHAHU COOPERATIVE SOCIETY,CS-0001/2013,Registered,28-Feb-2013
115,,MAAMAKUNUDHOO DEVELOPMENT COOPERATIVE SOCIETY,CS-0002/2013,Registered,31-Mar-2013
116,,FUVAHMULAK FISHERMAN COOPERATIVE SOCIETY,CS-0009/2017,Registered,08-Nov-2017
117,,MAAKURATHU COOPERATIVE SOCIETY,CS-0013/2017,Registered,16-Nov-2017
118,,KULHUDHUFFUSHI MARKETING AND CREDIT COOPERATIVE,CS00012022,Registered,12-May-2022
119,,Maamigili Cooperative Society,CS00062021,Registered,02-Nov-2021
