2,,Name,Number,ManagingPartner,State,RegisteredDate
200,,TISH PARTNERS,P-0060/2015,IBRAHIM SHAHEEN,Registered,20-May-2015
201,,DHETHANDI MARINE,P-0062/2015,IBRAHIM AHMED SHAKOOR,Registered,01-Jun-2015
202,,LADON CHAMBERS,P-0063/2015,NOORUL SALAM ABOOBAKUR,Registered,04-Jun-2015
203,,KUSO CONSTRUCTION,P-0064/2015,IBRAHIM AHMED SHAKOOR,Registered,08-Jun-2015
204,,MATCON MALDIVES PARTNERS,P-0065/2015,RIFFATH WAFIR,Registered,10-Jun-2015
205,,MELANGE,P-0066/2015,MOHAMED ALI DIDI,Registered,16-Jun-2015
206,,VIYA VAARU ASSOCIATES,P-0067/2015,ABDULLA AZIM,Registered,22-Jun-2015
207,,DURIAN,P-0068/2015,MOHAMED NASHATH,Registered,22-Jun-2015
208,,AUXILIUM CHAMBERS,P-0074/2015,MOHAMED SIDHURATH,Registered,12-Jul-2015
209,,ZIPHIUS MALDIVES,P-0069/2015,ZUBAIR AHMED MANIK,Registered,30-Jun-2015
210,,GIGGLEROO,P-0070/2015,ALI ZAHIR,Registered,02-Jul-2015
211,,NODE CO.,P-0071/2015,AHMED AIMAN SHAREEF,Registered,07-Jul-2015
212,,GETFISH PARTNERS,P-0073/2015,Munaz Mubarik,Registered,12-Jul-2015
213,,QUALITY AND QUICK SUPPLY,P-0072/2015,ABDULLAH AZMEEN,Registered,12-Jul-2015
214,,RIVOLI PARTNERS,P-0075/2015,GASIM MOHAMED,Registered,02-Aug-2015
215,,THE BRICKS,P-0076/2015,IBRAHIM RAMZEE,Registered,10-Aug-2015
216,,TOO LIKE PARTNERS,P-0077/2015,AHMED NIZAM,Registered,10-Aug-2015
217,,SWATCH,P-0079/2015,HUSHAM ABDUL HAKEEM,Registered,13-Aug-2015
218,,THREE ARROW PARTNERS,P-0080/2015,IBRAHIM SHAAHIN,Registered,18-Aug-2015
219,,I O SOLUTIONS,P-0081/2015,MOHAMED FARISH,Registered,24-Aug-2015
220,,ONE HARDWARE,P-0082/2015,MOHAMED AFZAL,Registered,25-Aug-2015
221,,INFINI SOLUTIONS,P-0083/2015,Ali Sham Ahmed,Registered,01-Sep-2015
222,,RAPIDO ELECTRONIC PARTNERSHIP,P-0084/2015,MAZNEE MAHMOOD,Registered,06-Sep-2015
223,,CRYSTAL VIEW,P-0085/2015,MOHAMED AMIR,Registered,13-Sep-2015
224,,CRYSTAL REEF PARTNERSHIP,P-0089/2015,HASSAN HALEEM,Registered,17-Sep-2015
225,,MOOINC,P-0088/2015,MOHAMED ISHAN SAEED,Registered,16-Sep-2015
226,,KPMG,P-0086/2015,,Registered,14-Sep-2015
227,,WHALE SHARK MAAMIGILI,P-0087/2015,Ali Ibrahim,Registered,15-Sep-2015
228,,NAZ & ASSOCIATES,P-0090/2015,ZIMNA ABDUL MUHSIN,Registered,17-Sep-2015
229,,SHE FITNESS,P-0092/2015,AISHATH SHEENEEZ MOOSA,Registered,28-Sep-2015
230,,ZUM,P-0091/2015,ALI NASH'ATH MOHAMED,Registered,17-Sep-2015
231,,TWIN WORKS,P-0094/2015,AHMED ADAM,Registered,07-Oct-2015
232,,"IBRAHIM & SONS,",P-0095/2015,Mohamed Athif Ibrahim,Registered,15-Oct-2015
233,,ADDU ADVOCATES' CHAMBERS,P-0011/2016,HUSSAIN HABEEB,Registered,11-Jan-2016
234,,ENCUESTA MALDIVES,P-0097/2015,AZHAAN FAHMY,Registered,19-Oct-2015
235,,AFFLUENT CONSULTANCY,P-0098/2015,MAMDHOOHA ABDUL RAHMAAN ISMAIL,Registered,20-Oct-2015
236,,GREEN MARK,P-0099/2015,SUHARTO,Registered,22-Oct-2015
237,,MYRIAD INVESTMENTS,P-0102/2015,ANAS ABDUL SATTAR,Registered,10-Nov-2015
238,,DHURAATHA LAW FIRM,P-0100/2015,MOHAMED WAHEED,Registered,05-Nov-2015
239,,E-PRO MALDIVES PARTNERSHIP,P-0101/2015,ALI SIRAJ,Registered,08-Nov-2015
240,,SHABAAB HASEEN,P-0104/2015,ABDULLA HASEEN,Registered,16-Nov-2015
241,,WILDFLOWERS PARTNERSHIP,P-0103/2015,HAMNA WAHEED,Registered,16-Nov-2015
242,,I I TRAVEL,P-0105/2015,AISHATH NISHA,Registered,18-Nov-2015
243,,AWESOME PRINTS PARTNERSHIP,P-0106/2015,ABDULLA SAEED,Registered,24-Nov-2015
244,,BDO PARTNERS (MALDIVES),P-0114/2015,TISHAN HARENDRANATH SUBASINGHE,Registered,03-Dec-2015
245,,RF PARTNERSHIP,P-0107/2015,IBRAHIM FAID,Registered,25-Nov-2015
246,,FAROZ INVESTMENT CO.,P-0108/2015,AISHATH ROZA,Registered,25-Nov-2015
247,,VENTURIFY PARTNERSHIP,P-0109/2015,ALI SHIYAZ RASHEED,Registered,26-Nov-2015
248,,MAGOO ENTERPRISES,P-0110/2015,ISHAG IBRAHIM,Registered,29-Nov-2015
249,,F & U SERVICES,P-0034/2016,MOHAMED HAMEED,Registered,08-Feb-2016
250,,REVIVE FITNESS CO.,P-0111/2015,MOHAMED HAMDHAAN NAEEM,Registered,02-Dec-2015
251,,OPTIMUM CHAMBERS LLP,P-0113/2015,AHMED SINAZ,Registered,02-Dec-2015
252,,AGEELS PARTNERSHIP,P-0112/2015,HAMDHY AGEEL,Registered,02-Dec-2015
253,,MAGEY CINEMA,P-0115/2015,HUSSAIN RASHEED,Registered,08-Dec-2015
254,,OSMIUM,P-0119/2015,AHMED LATHEEF,Registered,09-Dec-2015
255,,RIGHT ENTERPRISES PARTNERSHIP,P-0116/2015,ILYASAU AHMED,Registered,08-Dec-2015
256,,INTELLEA PARTNERSHIP,P-0118/2015,NAAIL ABDUL RAHMAN,Registered,09-Dec-2015
257,,J.N PARTNERSHIP,P-0117/2015,IBRAHIM JAMAAL,Registered,08-Dec-2015
258,,VALUE ASSOCIATES,P-0121/2015,AHMED AZEEM ALI,Registered,10-Dec-2015
259,,FIFTH GEAR MOTOR SERVICES,P-0120/2015,AHMED SIMAH,Registered,10-Dec-2015
260,,SOUTH CONSTRUCTION,P-0122/2015,HASSAN FAYAZ,Registered,24-Dec-2015
261,,RASHEED MANSOOR,P-0123/2015,RAYA AHMED MANSOOR,Registered,28-Dec-2015
262,,F.E BONDS PARTNERSHIP,P-0126/2015,ABDUL RAHMAAN ABDULMANAAN,Registered,30-Dec-2015
263,,ROYA,P-0127/2015,SHAAHATH JAUFAR,Registered,31-Dec-2015
264,,ACTIVE CARE,P-0003/2016,MOHAMED SHIVAZ,Registered,06-Jan-2016
265,,STAR SP PARTNERS,P-0125/2015,HAWWA RIHULA,Registered,30-Dec-2015
266,,RIZATHY,P-0001/2016,AMINATH RIZNA,Registered,04-Jan-2016
267,,GREAT PARTNERS,P-0002/2016,HUSSAIN AHMED,Registered,05-Jan-2016
268,,CLAY TOKENS,P-0004/2016,AMINATH MAJIDA,Registered,06-Jan-2016
269,,SYNBUS MALDIVES,P-0005/2016,MOHAMED MAJID,Registered,07-Jan-2016
