2,,Name,Number,ManagingPartner,State,RegisteredDate
866,,FOCUS SPORTS ACADEMY,P01262019,Ali Ibrahim,Registered,24-Jul-2019
867,,FOODOS,P01182019,ALI MUTHTHALIB,Registered,21-Jul-2019
868,,KURI BUSINESS,P01192019,ASHRAF NASEER,Registered,22-Jul-2019
869,,IRIS HOLDINGS,P01252019,G K DEVELOPMENTS PVT LTD,Registered,23-Jul-2019
870,,REAMBITS,P01212019,Azzam Lareef,Registered,22-Jul-2019
871,,AZUR CHAMBERS,P01202019,FATHIMATH SHAFNEEZ,Registered,22-Jul-2019
872,,ECHBEES,P01232019,AHMED ARSHAD,Registered,23-Jul-2019
873,,THREE LINES,P01272019,IBRAHIM NAZEER,Registered,25-Jul-2019
874,,FLUID INC,P01292019,Jiyam Saeed,Registered,25-Jul-2019
875,,XPERICOM,P01282019,Athif Ali,Registered,25-Jul-2019
876,,YOUNG MART,P01312019,Mohamed Affan,Registered,31-Jul-2019
877,,LAWSPECTIVE,P01322019,Mohamed Mamshooq Marzooq,Registered,04-Aug-2019
878,,RUSHDY & CO,P01352019,Shahula Rushdhee,Registered,04-Aug-2019
879,,LINEAR STUDIO,P01332019,Fathimath Shaheen,Registered,04-Aug-2019
880,,ALPHA DEN,P01342019,MOHAMED IBRAHIM,Registered,04-Aug-2019
881,,MK FNB,P01372019,MOHAMED KHALID,Registered,05-Aug-2019
882,,MOHAN MUTHA POINT THREE,P01382019,MOHAN MUTHA EXPORTS PRIVATE LIMITED,Registered,06-Aug-2019
883,,INSTITUTE FOR ACCOUNTING AND BUSINESS STUDIES,P01402019,MAS'UDH MUHAMMADH,Registered,19-Aug-2019
884,,APEX LAW,P01392019,IBRAHIM MAHUDHEE,Registered,08-Aug-2019
885,,CROWN DIAMOND JEWELLERIES,P01412019,Mohamed Ahnaf,Registered,19-Aug-2019
886,,SUENO TRAVELS,P01442019,NASREENA IBRAHIM,Registered,26-Aug-2019
887,,MALHI MALDIVES,P01432019,Nasru Mohamed Didi,Registered,25-Aug-2019
888,,VISHYLIUM,P01422019,MOHAMED VISHAH,Registered,25-Aug-2019
889,,WAGON MALDIVES,P01522019,Abdul Mugadhim,Registered,02-Sep-2019
890,,AMPELOS,P01452019,HUSSAIN SIMAN,Registered,27-Aug-2019
891,,SIX BY SIX,P01462019,AHMED AJWAD,Registered,28-Aug-2019
892,,KOIMALA INVESTMENTS,P01472019,RIFATH MOHAMED,Registered,28-Aug-2019
893,,SOTROS,P01492019,HISHAM AHMED,Registered,29-Aug-2019
894,,DE LUSTRE,P01482019,IBRAHIM NASHID,Registered,29-Aug-2019
895,,MODERNIO,P01502019,ALI HASSAN,Registered,01-Sep-2019
896,,UNIC WATT,P01512019,IBRAHIM ALI DIDI,Registered,02-Sep-2019
897,,FEHIALI GROUP,P01532019,FATHIMATH RISHFA MOHAMED,Registered,03-Sep-2019
898,,TOTAL LEGAL SOLUTIONS,P01552019,ISMAIL MOHAMED,Registered,04-Sep-2019
899,,THREE ALLIANCE MALDIVES,P01542019,IBRAHIM RASHVAN,Registered,03-Sep-2019
900,,SHC Law & Tax,P01902019,DHEENA HUSSAIN,Registered,28-Oct-2019
901,,EMZEE INVESTMENT,P01572019,Ibrahim Zaeem,Registered,08-Sep-2019
902,,DELISH CORNER,P01562019,Haroon Mohamed,Registered,08-Sep-2019
903,,CHAALAA FIHAARA,P01582019,Hoodhu Mohamed,Registered,08-Sep-2019
904,,A&J PARTNERSHIP,P01592019,ALI SHAAM,Registered,10-Sep-2019
905,,DHIYARES MEDIA,P01602019,SHIFZAN AHMED,Registered,11-Sep-2019
906,,ISLAND CHOICE,P01612019,ILYAS MOHAMED,Registered,12-Sep-2019
907,,AJ HUVADHOO,P01642019,Ali Moosa,Registered,16-Sep-2019
908,,HYPERMART,P01672019,KHALIDH HASSAN,Registered,17-Sep-2019
909,,HA BROTHERS,P01632019,Hassaan Mohamed,Registered,15-Sep-2019
910,,MASLAK,P01622019,ABDULLA SAEED,Registered,15-Sep-2019
911,,BUCKLE UP HOLDINGS,P01662019,AHMED HAISHOOM,Registered,17-Sep-2019
912,,TITAN GROUP,P01682019,MOHAMED ASHRAF,Registered,19-Sep-2019
913,,SAABAS TRADE,P01692019,HASSAN BUSHREE MOHAMED,Registered,24-Sep-2019
914,,ATOLL SCUBA,P00212020,HASSAN FAHEEM,Registered,30-Jan-2020
915,,DAISTA,P01702019,AHULAAM AHMED,Registered,25-Sep-2019
916,,ANBARU GROUP,P01742019,RISHWAN EASA,Registered,02-Oct-2019
917,,LIYO,P01712019,Ahmed Shius Mohamed,Registered,29-Sep-2019
918,,PROPERTY PLUS,P01722019,HUSSAIN FAISAL,Registered,30-Sep-2019
919,,GENERIC,P01732019,Mohamed Imran,Registered,02-Oct-2019
920,,MALDIVES ADVENTURES MAAFUSHI,P01752019,HUSSAIN SOLAH,Registered,02-Oct-2019
921,,Z BUILDERS,P01762019,AHMED ZAREEF,Registered,03-Oct-2019
922,,FAHI SPEED,P01772019,Fathimath Abdulla,Registered,09-Oct-2019
923,,TRANSLOGISTIC SOLUTIONS,P01782019,AHMED SHAMEEL MOHAMED,Registered,09-Oct-2019
924,,PROLEGAL SERVICES,P01792019,MOHAMED WAHEED,Registered,13-Oct-2019
925,,AIFA PARTNERS,P01802019,IBRAHIM ASIF,Registered,15-Oct-2019
926,,WANNA BITE,P01812019,MOHAMED MAADIH FAROOQ,Registered,16-Oct-2019
927,,ECO HOUSE  INVESTMENT,P01982019,Hamid Hamdhee,Registered,12-Nov-2019
928,,STROBE IDEA,P01822019,Naafee Ibrahim,Registered,17-Oct-2019
929,,INCO ADVOCATES,P01832019,IBRAHIM RASHEED,Registered,21-Oct-2019
930,,SILVER WINGS,P01862019,AHMED ALIM,Registered,23-Oct-2019
931,,AZUM LAUNCH SERVICE,P01842019,Adam Shareef,Registered,22-Oct-2019
932,,AR ROASHANEE INVESTMENT,P01872019,Mohamed Rameez,Registered,23-Oct-2019
933,,MAJUDUDDIN CHAMBER,P01852019,AFSHAN NASEEM,Registered,22-Oct-2019
934,,SPHEERO,P01882019,ABDUL RAHEEM ABDUL JALEEL,Registered,24-Oct-2019
935,,ISLAND COLOURS,P01892019,Mohamed Zahee,Registered,27-Oct-2019
936,,FAHI LEGAL SOLUTIONS,P01912019,HASSAN MANIK,Registered,28-Oct-2019
937,,HOARA VENTURES,P01922019,Ibrahim Vishal,Registered,31-Oct-2019
938,,THE AISLE SECRETS,P01942019,Zidhuna Zaheen,Registered,04-Nov-2019
939,,ALCORSI INVESTMENTS,P01932019,Ahmed Alsan,Registered,04-Nov-2019
940,,LA MENSA CAFE' AND BISTRO,P01952019,Shafiu Ahmed,Registered,06-Nov-2019
941,,ADVENT,P01962019,NAZIYA MOHAMED,Registered,07-Nov-2019
942,,Z.A.M,P02062019,ZIYANA ABDUL MAJEED,Registered,17-Nov-2019
943,,AKMAZO,P02002019,Rasha Ahmed,Registered,14-Nov-2019
944,,YUTI CONSTRUCTION,P02032019,Ismail Shareef,Registered,17-Nov-2019
945,,REMOOTI,P01992019,Thaharath Mohamed Waheed,Registered,14-Nov-2019
946,,AGILE TECHNOLOGIES,P02022019,Sharif Mohamed,Registered,14-Nov-2019
947,,THE VEG,P02012019,ARUSHAD ZUHAIR,Registered,14-Nov-2019
948,,SC LOUNGE,P02042019,CLOUDOVIA PVT LTD,Registered,17-Nov-2019
949,,SISTERS PRESTIGE,P02052019,Khadeeja Janifa,Registered,17-Nov-2019
950,,STERLING INVESTMENTS,P02072019,Aishath Shiuna,Registered,18-Nov-2019
951,,A.N.R PROVISION,P02092019,AHMED HUSSAIN,Registered,20-Nov-2019
952,,CORE TECH,P02082019,ALI SODIQ,Registered,20-Nov-2019
953,,S.E TRADING,P02112019,FATHUHULLA AHMED,Registered,25-Nov-2019
954,,SUNNY SKY THODDOO,P02122019,AHMED ADHEEL,Registered,26-Nov-2019
955,,SHELLBACK MARINE,P02132019,Aminath Naina Naseem,Registered,01-Dec-2019
956,,STEED GARAGE,P02142019,Jareer Mukhuthar Fahmy,Registered,03-Dec-2019
957,,RAALHU SURFBOARDS,P02152019,IBRAHIM IGAN,Registered,05-Dec-2019
958,,WHITEHEART MALDIVES,P02162019,Moosa Ahmed,Registered,10-Dec-2019
959,,LEGIT LAW FIRM,P02212019,AMINATH RIFGA,Registered,16-Dec-2019
960,,MEXIC ZONE,P02172019,MOHAMED RIFSAN,Registered,15-Dec-2019
961,,INAARA SIBLING,P02192019,Adam Shareef,Registered,15-Dec-2019
962,,CRYSTAL CHAMBERS,P02202019,ABDULLA RASHEED,Registered,15-Dec-2019
963,,PAZARI PRO,P02182019,IBRAHIM IMDHADH,Registered,15-Dec-2019
964,,NAEEM & JINAN,P02222019,IBRAHIM NAEEM,Registered,17-Dec-2019
965,,SEA SHINE LINK,P02232019,MOOMINA SOLIH,Registered,18-Dec-2019
966,,ILK MAAFUSHI,P02242019,AHMED SHUAIB RASHEED,Registered,18-Dec-2019
967,,TREATS MALDIVES,P02252019,ADILA ISMAIL,Registered,19-Dec-2019
968,,THE BRICKYARD,P02262019,Ahmed Nawal,Registered,22-Dec-2019
969,,GAMEHUB,P02272019,Ahmed Sinan,Registered,23-Dec-2019
970,,KINAARAA MALDIVES,P02282019,Rifath Abdulla,Registered,23-Dec-2019
971,,GLORIST,P02292019,IBRAHIM NASEER,Registered,26-Dec-2019
972,,Phoenix Trade,P02312019,AHMED NASEER,Registered,30-Dec-2019
973,,FIZZY GROUP,P02322019,MOOSA ABDUHRAHEEM,Registered,31-Dec-2019
974,,S&A ADVISORY,P00012020,AHMED ALI,Registered,05-Jan-2020
975,,COUSIN BROTHERS,P00032020,HUSSAIN SALAH MOOSA,Registered,06-Jan-2020
976,,TRADEBRITE,P00042020,AKHTHAR MOHAMED ALI,Registered,07-Jan-2020
977,,GINGER COLLECTION,P00052020,Ameena Saeed,Registered,09-Jan-2020
978,,ENDHERI SUNSET DHANGETHI,P00062020,ISMAIL ADIL,Registered,13-Jan-2020
979,,HEALING TOUCH,P00072020,AHMED SHAHEEM,Registered,14-Jan-2020
980,,LEXPERT CHAMBERS,P00092020,ABOOBAKURU ABDUL SATTAR,Registered,16-Jan-2020
981,,KANZ,P00082020,Muhammadh Zahid,Registered,16-Jan-2020
982,,THRIVE MART,P00102020,Ibrahim Naajih,Registered,16-Jan-2020
983,,KEYSTONE,P00112020,Ibrahim Naaim,Registered,19-Jan-2020
984,,ALIMAS HOLIDAY RETREAT,P00122020,AHMED IBRAHIM MANIK,Registered,20-Jan-2020
985,,PIN CHERRY,P00132020,Mariyam Haifa Shiyam,Registered,21-Jan-2020
986,,INTER GLOBAL HOLDINGS,P00152020,LAMHA WAHEED,Registered,23-Jan-2020
987,,KODESERVE,P00142020,Ahmed Fareedh,Registered,22-Jan-2020
988,,SILVER ENTERPRISES,P00192020,ABDUL GAFOOR,Registered,28-Jan-2020
989,,TOUCAN MALDIVES,P00202020,IKRAM ALI,Registered,29-Jan-2020
990,,CREATIVE & PR ASSOCIATES,P00162020,RIAAYATH ABDUL MAJEED,Registered,26-Jan-2020
991,,OAUTHX,P00172020,SOFWAN IBRAHIM,Registered,27-Jan-2020
992,,SHUBA'S,P00502020,MOHAMED SIDHURATH,Registered,01-Mar-2020
993,,DHONKAMANA STAY,P00222020,IBRAHIM JINAH,Registered,02-Feb-2020
994,,PRIME CHARTERED,P00232020,Aishath Nazha Ali,Registered,04-Feb-2020
995,,THE MAXIM,P00282020,KHADEEJA ABDULLA,Registered,10-Feb-2020
996,,THE FISH FACTORY,P00392020,AHMED JUNAIHU ZAHIR,Registered,19-Feb-2020
997,,TRIUMPHUS LEGAL ASSOCIATES,P00242020,AHMED SULAIMAN ADAM,Registered,04-Feb-2020
998,,AMICUS CURIAE,P00252020,AHMED YAAMEEN,Registered,05-Feb-2020
999,,RISING,P00262020,HUSSAIN HAMEEM,Registered,06-Feb-2020
1000,,WEALTHOUSE,P00272020,Mariyam Haifa,Registered,09-Feb-2020
1001,,CITY INN,P00292020,ILYAS MOHAMED,Registered,11-Feb-2020
1002,,JN INVESTMENT,P00312020,JALEEL MOOSA,Registered,12-Feb-2020
1003,,BRIGHT APPROACH,P00322020,ABDULLA ABDUL RAHMAN,Registered,12-Feb-2020
1004,,KAFALOLLY,P00302020,AISTHATH SHIFANA WAJEEH,Registered,11-Feb-2020
1005,,REIGN HOLDINGS,P00342020,AMINATH JUMANA,Registered,16-Feb-2020
1006,,ALBINO,P00332020,Ismail Ahusan,Registered,16-Feb-2020
1007,,ILL SHAATH CHOICE,P00362020,SHATHIRA AHMED DIDI,Registered,17-Feb-2020
1008,,BELVEDERE,P00372020,HASSAN SUMEEL,Registered,17-Feb-2020
1009,,VALIANT CHAMBERS,P00382020,Misbaahu Mujthabaa,Registered,18-Feb-2020
1010,,MEDIA CENTER,P00402020,Ismail Rushdhan Zuhury,Registered,20-Feb-2020
1011,,ONE DOLLAR BOAT,P00412020,ABDULLA ZAHIR,Registered,23-Feb-2020
1012,,SOUTH THIRTY NINE,P00462020,NABEEL ALI HUSSAIN,Registered,27-Feb-2020
1013,,FIMACO,P00432020,HUSSAIN RASHEED,Registered,25-Feb-2020
1014,,VEYUGE FUND,P00452020,Ahmed Shakeeb,Registered,27-Feb-2020
1015,,MEAT HOUSE,P00442020,Ibrahim Fiyaz,Registered,26-Feb-2020
1016,,CEPT,P00472020,SHARUFIYYA IBRAHIM,Registered,27-Feb-2020
1017,,PS HOLDINGS,P00482020,SOBAH RASHEED,Registered,27-Feb-2020
1018,,NOORBAAN & CO,P00492020,NOORUBAAN FAHMEE,Registered,27-Feb-2020
1019,,DEAL DIVISION,P00512020,MOHAMED SAMOON,Registered,03-Mar-2020
1020,,ENTREPRENEURSHIP CO,P00612020,ABDULLA YASIR,Registered,16-Mar-2020
1021,,MARSHAL ATTORNEYS & CO,P00522020,MOHAMED SINAN,Registered,04-Mar-2020
1022,,ZRZ INVESTMENT,P00532020,Adam Asfan,Registered,04-Mar-2020
1023,,S.A.V MALDIVES,P00542020,AHMED SINAAN,Registered,05-Mar-2020
1024,,YES OPEN,P00552020,ABDUL RASHEED HASSAN,Registered,11-Mar-2020
1025,,NAN ENTERPRISES,P00562020,AHMED NASEEM,Registered,11-Mar-2020
1026,,AIRTIQA INVESTMENT,P00572020,Ahmed Alsan,Registered,12-Mar-2020
1027,,CAFE' DE OLLA,P00582020,SHAMSIYYA,Registered,15-Mar-2020
1028,,THILA SKYVIEW,P00602020,ABDULLA SHAIF,Registered,16-Mar-2020
1029,,SARIS,P00592020,IBRAHIM SAEED,Registered,16-Mar-2020
1030,,KAVI MART,P00722020,ALI HAFIZ,Registered,12-Jul-2020
1031,,OALA,P00632020,Aishath Samahath Ibrahim,Registered,16-Jun-2020
1032,,FOREST GROUP,P00672020,MOHAMED ASHRAF,Registered,08-Jul-2020
1033,,RAIN FOREST,P00662020,MOHAMED SHAHEEN,Registered,08-Jul-2020
1034,,NEW PARADISE MALDIVES,P00642020,AHMED THOLAAL HASSAN,Registered,07-Jul-2020
1035,,SAEED & ASSOCIATES,P00652020,MOHAMED SAEED,Registered,07-Jul-2020
1036,,FINSIGHT CONSULTING,P00682020,ALI SHAREEF,Registered,08-Jul-2020
1037,,PLATED CAFE',P00692020,Mumthaz Ahmed,Registered,09-Jul-2020
1038,,ELPIZO,P00702020,VISHAAHU SAEEDH,Registered,09-Jul-2020
1039,,FORMAL,P00712020,SHAMMYN AHMED,Registered,12-Jul-2020
1040,,FOOD CROWD,P00752020,IBRAHIM WAAIL MOHAMED,Registered,14-Jul-2020
1041,,S CUBE PLUS,P00912020,Shaffaf Rizwan,Registered,10-Aug-2020
1042,,FZN lawyers,P00732020,FARUHAAN ALI,Registered,13-Jul-2020
1043,,NEW WAVES INVESTMENT,P00762020,Mohamed Samah,Registered,14-Jul-2020
1044,,HOPE MALDIVES,P00742020,Mariyam Sana,Registered,14-Jul-2020
1045,,OPPIC,P00772020,AHMED MOHAMED,Registered,15-Jul-2020
1046,,FASHION FACTORY,P00782020,Mohamed Ahmed Waleed,Registered,15-Jul-2020
1047,,KONPART,P00802020,GURAISH RAMEEZ,Registered,16-Jul-2020
1048,,LOCAL MOTOR GARAGE,P00822020,ABDULLA SHAFEEG,Registered,19-Jul-2020
1049,,SAMEER & SHAMAM,P00812020,MOHAMED SAMEER,Registered,19-Jul-2020
1050,,SMART COOL,P00842020,ALI FAIZ,Registered,20-Jul-2020
1051,,THE GREEN THUMBS,P00852020,IBRAHIM NADHEEH,Registered,20-Jul-2020
1052,,E'HEE,P00922020,Aishath Hanaa,Registered,10-Aug-2020
1053,,VIVID INVESTMENT,P00832020,ALI SHAHEEM,Registered,20-Jul-2020
1054,,ATOLL TRADING,P00872020,SAHULU NASHIDH,Registered,22-Jul-2020
1055,,HOUSEHOLD MALDIVES INVESTMENT,P00862020,MOOSA AHMED,Registered,21-Jul-2020
1056,,SALT WATER MARINE,P00932020,ISMAIL ADHUHAM,Registered,11-Aug-2020
1057,,REAL ZONE,P00892020,IBRAHIM NOORADHEEN,Registered,09-Aug-2020
1058,,ATHA INVESTMENT,P01042020,YOOSUF RIYAAZ,Registered,18-Aug-2020
1059,,LUNARTAIL,P00902020,HASSAN SOLIH,Registered,09-Aug-2020
1060,,CRESCO PLUS,P00882020,AHMADH NADHEEM,Registered,09-Aug-2020
1061,,SHIPWIN LOGISTIC,P00962020,ARUSHAD ZUHAIR,Registered,11-Aug-2020
1062,,ASTUTE ADVOCACY,P00942020,Faena Fayyaz,Registered,11-Aug-2020
1063,,VEG PLUS,P00952020,MOHAMED SHAMY,Registered,11-Aug-2020
1064,,PHOENIX HOLDINGS,P00972020,AHMED SHAFIU,Registered,12-Aug-2020
1065,,LOCAL SUPPLIER,P00982020,ALI WAHEED,Registered,12-Aug-2020
1066,,OATH LAW FIRM AND ATTORNEY,P01012020,MOOSA FATHUHEE ADAM,Registered,16-Aug-2020
1067,,SUNSHINE CARGO AND LOGISTICS,P01002020,AHMED SHIFAN IBRAHIM,Registered,13-Aug-2020
1068,,SPADE INVESTMENTS,P01022020,Mohamed Shafeeu,Registered,17-Aug-2020
1069,,SUPREME MOTORS,P01032020,Ahmed Abdulla Jabir,Registered,18-Aug-2020
1070,,AXIOM LAW FIRM,P01062020,NIHAM JAUFAR,Registered,23-Aug-2020
1071,,THE DAYT CONSTRUCTION,P01082020,ADAM SHAREEF,Registered,24-Aug-2020
1072,,A AND Z ASSOCIATES,P01072020,ADAM ZALIF,Registered,24-Aug-2020
1073,,SOMETHING,P-0002/2014,AHMED SHAFEEZ,Registered,26-Jan-2014
1074,,PLATINUM CONSULTANTS,P01092020,Fathmath Mirhath,Registered,25-Aug-2020
1075,,NIYAA MART,P01102020,ALI SHAREEF,Registered,25-Aug-2020
1076,,MOVANT LAW,P01112020,MOHAMED ALEEM,Registered,26-Aug-2020
1077,,SAGACITY PARTNERS,P01122020,MOHAMED NIZAM,Registered,26-Aug-2020
1078,,RIPPLE MALDIVES,P01132020,MOHAMED HAIKAL IBRAHIM,Registered,27-Aug-2020
1079,,RAD SOLUTIONS,P01152020,Ahmed Irufan,Registered,30-Aug-2020
1080,,KHAIRA INVESTMENT LLP,P01142020,MOHAMED SHIMAL NAZIM,Registered,30-Aug-2020
1081,,MULTI SUPPLY MV,P01162020,Zuha Yoonus,Registered,31-Aug-2020
1082,,TRENDS,P01172020,AHMED JAAH MOHAMED,Registered,01-Sep-2020
1083,,OLINKO,P01182020,Ishfaag Ali,Registered,02-Sep-2020
1084,,INFINITY SOLUTIONS,P01212020,AHMED THAUZEEM MOHAMED,Registered,07-Sep-2020
1085,,LAWCRAFT LAW FIRM,P01192020,ABDULSALAAM ARIF,Registered,07-Sep-2020
1086,,RECTAS CHAMBERS,P01222020,MOHAMED RIZA,Registered,07-Sep-2020
1087,,KOTTU GONU,P01202020,ALI IBRAHIM MANIK,Registered,07-Sep-2020
1088,,WELL TRIALS,P01232020,AINAN ALI MOHAMED,Registered,09-Sep-2020
1089,,ATTORNEY ALLIANCE,P01242020,Mariyam Amani Zahir,Registered,09-Sep-2020
1090,,NOONU FUELS,P01252020,AMINATH JUMANA,Registered,10-Sep-2020
1091,,WING BROS,P01262020,HUSSAIN RIYAZ,Registered,10-Sep-2020
1092,,WAHEED & ZAHEERA,P01272020,IBRAHIM WAHEED,Registered,10-Sep-2020
1093,,ENDIVE MALDIVES,P01292020,MOHAMED ABDUL RAZZAQ,Registered,13-Sep-2020
1094,,MAGISTERIAL CHAMBERS,P01282020,AFIYA ABDUL AZEEZ,Registered,13-Sep-2020
1095,,CLA PARTNERS,P01302020,MOHAMED SHIFAZ ABDUL GADHEER,Registered,14-Sep-2020
1096,,VERITY LAW ASSOCIATES,P01332020,FATHIMATH YASHFA,Registered,15-Sep-2020
1097,,CORPLEX CHAMBERS,P01322020,ALI IBRAHIM,Registered,15-Sep-2020
1098,,HYDRO LIFE,P01342020,MOOSA NIMAL,Registered,15-Sep-2020
1099,,HAANEE & ASHRAF,P01312020,Aishath Iffa Ashraf,Registered,15-Sep-2020
1100,,MANDY'S BISTRO BAR,P01352020,Mariyam Mohamed,Registered,16-Sep-2020
1101,,TECH SUPPLY MALDIVES,P01382020,AHMED SHIRAN,Registered,21-Sep-2020
1102,,THE ARCHIVISTS,P01392020,AHMED AFRAH ISMAIL,Registered,21-Sep-2020
1103,,JENOVA,P01372020,Saifullah Shareef,Registered,20-Sep-2020
1104,,FINAC & CO.,P01362020,MOHAMED HALEEM ABDULLA,Registered,20-Sep-2020
1105,,LEGAL PARTNERS,P01412020,ALI SHAH,Registered,22-Sep-2020
1106,,HOT & COLD,P01402020,MOHAMED NIYAZ,Registered,21-Sep-2020
1107,,MAKTAB,P01422020,Fahim Naseer,Registered,22-Sep-2020
1108,,THE LEGAL CHAMBER LLP,P01432020,MOHAMED RAGHIB AHMED,Registered,24-Sep-2020
1109,,MALAAI GES,P01502020,ZEEDHA HUSSAIN,Registered,01-Oct-2020
1110,,D.R.Y.M,P01442020,IBRAHIM RAZZAN,Registered,24-Sep-2020
1111,,PROGETTISTA,P01522020,ISMAIL ADHUHAM,Registered,04-Oct-2020
1112,,TREANT MARKETING,P01452020,ISMAIL EANAU SHAREEF,Registered,27-Sep-2020
1113,,AVENEZ,P01542020,Ali Shakir,Registered,05-Oct-2020
1114,,HULHUMALE FOOD SUPPLY,P01482020,MOHAMED ASWAN,Registered,29-Sep-2020
1115,,ZILLIONS PLUS,P01472020,MOHAMED RIFSAN,Registered,29-Sep-2020
1116,,LEGASSIS CHAMBERS,P01492020,AMJAD MUSTHAFA,Registered,01-Oct-2020
1117,,"MUNAWWAR,NAZAHATH & CO.",P01512020,Ibrahim Munawwar,Registered,04-Oct-2020
1118,,MUAZZAM ZINAH & CO,P01532020,Ahmed Muazzam,Registered,05-Oct-2020
1119,,HESSA GRANDE,P01552020,Mohamed Aiman Ahmed,Registered,06-Oct-2020
1120,,REOZA ELECTRONICS,P01562020,MOHAMED MUEEDH,Registered,07-Oct-2020
1121,,A &  H,P01572020,HUSSAIN MOHAMED,Registered,08-Oct-2020
1122,,DOMINATE MALDIVES,P01582020,Lisham Jaufar,Registered,08-Oct-2020
1123,,KALIMAT MALDIVES,P01592020,MOHAMED AIMAN IBRAHIM,Registered,11-Oct-2020
1124,,ASSURE,P01602020,MOHAMED MAJID,Registered,12-Oct-2020
1125,,CONSILIUM OF FINANCE,P01642020,Ismail Zahuraan Zubair,Registered,15-Oct-2020
1126,,CULTUREHUB,P01612020,AHMED AMIR,Registered,13-Oct-2020
1127,,SOUL INVESTMENTS,P01652020,MOHAMED SARVUATH,Registered,15-Oct-2020
1128,,ARTELIER,P01622020,Mohamed Masood Abdul Wahhab,Registered,13-Oct-2020
1129,,FENBE,P01632020,KHALAF ABDUL RAHMAN IBRAHIM,Registered,15-Oct-2020
1130,,IDENTITY STUDIO,P01682020,USAMATH ISMAIL,Registered,25-Oct-2020
1131,,HOME KITCHEN,P01672020,ZAIN HASSAN,Registered,25-Oct-2020
1132,,DHERIYA FISHERIES,P01702020,HUSSAIN ABDULLA DIDI,Registered,26-Oct-2020
1133,,MERIJAAN MALDIVES,P01692020,ISMAIL SAIF,Registered,26-Oct-2020
1134,,N MART,P01712020,ISMAIL NAZIM,Registered,27-Oct-2020
1135,,LINES LAW OFFICE,P01722020,MARIYAM SHUHUDHA,Registered,27-Oct-2020
1136,,MARTIAL ASSOCIATES,P01742020,ISMAIL AHMED NAEEM,Registered,01-Nov-2020
1137,,SEEDLING INVESTMENTS,P01732020,Mohamed Simad,Registered,28-Oct-2020
1138,,ATOLHU AGRI,P01752020,HASSAN IBRAHIM,Registered,02-Nov-2020
1139,,AQ SCAPE,P01772020,Midhath Aboobakur,Registered,02-Nov-2020
1140,,OLALA INVESTMENT,P01762020,SHAHEEN IBRAHIM DIDI,Registered,02-Nov-2020
1141,,SITHAANA HOMEWARE,P01782020,AHMED SABAH,Registered,04-Nov-2020
1142,,INVICTO CHAMBERS,P01812020,Mariyam Huzalath Khaleel,Registered,05-Nov-2020
1143,,BLOOM DECOR,P01822020,FATHMATH ARUSHEE,Registered,08-Nov-2020
1144,,MARINE BUNKERING,P01792020,ALI RAZAN ISMAIL,Registered,05-Nov-2020
1145,,FEHI TECH,P01802020,ABDULLA HAMID,Registered,05-Nov-2020
1146,,DHIVEHI CHAMBERS,P01832020,MARYAM NIHAYATH,Registered,08-Nov-2020
1147,,FAMILY MINI MART,P01842020,Mohamed Aiham,Registered,08-Nov-2020
1148,,WOWISLANDS,P00832021,Thaharath Mohamed Waheed,Registered,25-May-2021
1149,,LEGAL CELL,P01852020,AHMED HANEEF,Registered,10-Nov-2020
1150,,ARDENT LAW FIRM,P01862020,HAMMAD WAFIR,Registered,10-Nov-2020
1151,,Z & D,P01872020,Dr. Amzath Ahmed,Registered,15-Nov-2020
1152,,ZERA CHAMBERS,P01882020,Mohamed Nazeel,Registered,15-Nov-2020
1153,,CLASSY WEAR,P01892020,Abdulla Rasheed,Registered,18-Nov-2020
1154,,AIMI SEE RESTAURANT,P01902020,MOHAMED SHAHID,Registered,18-Nov-2020
1155,,SAADHA THIREES ASHEH,P01952020,MAHFOOZ IBRAHIM,Registered,24-Nov-2020
1156,,HAN'DHUVAREE,P01912020,Moosa Ibrahim,Registered,19-Nov-2020
1157,,ALMAAS TRADERS,P01922020,HUSSAIN ABDULLA SAEED,Registered,19-Nov-2020
1158,,A.N.R HOLDINGS,P01932020,Mohamed Naabith,Registered,22-Nov-2020
1159,,ZYAL,P01942020,ALI IKRAM,Registered,24-Nov-2020
1160,,AL AND AH NASRU,P01962020,Abdul Rasheed Ali,Registered,26-Nov-2020
1161,,OCEAN FANATICS,P02012020,ISLAND VENTURES MALDIVES PVT LTD,Registered,01-Dec-2020
1162,,THE PROFUMO,P01972020,IBRAHIM SHUAIB,Registered,29-Nov-2020
1163,,FARUMATHI EVENTS,P01982020,ABBAS SHAREEF,Registered,30-Nov-2020
1164,,ALLURE CLOSET,P01992020,MOHAMED ANFAL NAFIZ,Registered,30-Nov-2020
1165,,TRIPLE INVESTMENT,P02032020,Mohamed Ramiz,Registered,06-Dec-2020
1166,,MY ACCOUNTANT,P02022020,LUAYYU Saeed,Registered,02-Dec-2020
1167,,RANDHI HOARA PARTNERSHIP,P02052020,MOHAMED MUKHTHAR,Registered,08-Dec-2020
1168,,KAVARUNAA RESTAURANT,P02062020,HUSSAIN INAZ,Registered,09-Dec-2020
1169,,BUSSIO TRIANGLE,P02102020,Mariyam Faruhath,Registered,15-Dec-2020
1170,,KAALAA MANNA,P02072020,MOHAMED AFZAL IBRAHIM,Registered,13-Dec-2020
