CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
95455,RASCO PHARMA (PVT.) LIMITED,Lahore,Private Companies,M.AMIN AND CO.,10-Oct-15
57723,RASEEN TECHNOLOGIES (PVT.) LIMITED,Lahore,Private Companies,"NASIR JAVED MAQSOOD IMRAN, CA",31-Oct-10
45394,RASG CONSULTING (PVT.) LIMITED,Islamabad,Private Companies,MOHAMMAD BILAL AND CO.,26-Oct-19
40247,RASHA FLOOR AND GENERAL MILLS (PVT) LTD,Lahore,Private Companies,NAZIR AND COMPANY,31-Oct-08
11935,RASHAD MOHMAND CONSTRUCTORS (PVT.) LIMITED,Peshawar,Private Companies,DILROZE KHAN AND CO (PSH),31-Oct-09
35097,RASHAD MOTORS (PRIVATE) LIMITED,Lahore,Private Companies,JAWAID BROTHERS AND COMPANY,31-Dec-02
84291,RASHDEEN INTERNATIONAL TRAVEL (PVT.) LIMITED,Lahore,Private Companies,AKHTER MAHMOOD MIAN,28-Oct-17
92677,RASHEE (PVT.) LIMITED,Islamabad,Private Companies,AZEEMULLAH AND CO,31-Oct-17
113976,RASHEED AKHTAR BUILDER & CONTRACTORS (PRIVATE) LIMITED,Multan,Private Companies,WAQAS AND COMPANY,28-Oct-18
79474,RASHEED PACKAGES (PVT.) LIMITED,Lahore,Private Companies,ARSHAD AND CO.,28-Oct-19
19846,RASHEED PAPER & BOARD MILLS (PRIVATE) LIMITED,Karachi,Private Companies,MAQSOOD AND CO. CA,28-Oct-19
25270,RASHEED SPINNING MILLS (PRIVATE) LIMITED,Lahore,Private Companies,JAVAID CHAUDHRY AND CO. CA,30-Dec-95
17971,RASHEED WEAVING INDUSTRIES (PRIVATE) LIMITED,Lahore,Private Companies,RIAZ AND COMPANY,30-Jun-93
20833,RASHEEDSONS (PRIVATE) LIMITED,Karachi,Private Companies,HAROON ASSOCIATES CA,30-Oct-19
60958,RASHID & BROTHERS (PRIVATE) LIMITED,Karachi,Private Companies,AZEEM SIDDIQUI AQEEL TABANI AND CO.,31-Oct-07
10086,RASHID & COMPANY (PVT.) LIMITED,Lahore,Private Companies,ARSHAD RAHEEM AND CO.,31-Oct-05
4089,RASHID (PRIVATE) LIMITED,Karachi,Private Companies,TANVEER AFZAL AND CO. CA,31-Oct-06
15610,RASHID AND SONS (PVT) LTD,Lahore,Private Companies,FAKHAR SAEED CH.,30-Jun-01
83510,RASHID AWAN LOGISTICS (PVT.) LIMITED,Lahore,Private Companies,Shafiq and Company,30-Apr-13
2610,RASHID BROTHERS ASSOCIATES (PVT.) LIMITED,Multan,Private Companies,AHMAD MUSHIR AND CO. CA,28-Oct-19
75079,RASHID BUILDERS (PVT.) LIMITED,Karachi,Private Companies,SAJID AND CO,31-Oct-17
13916,RASHID CONSTRUCTION COMPANY (PRIVATE) LIMITED,Lahore,Private Companies,NADEEM ANWAR AND COMPANY CA,31-Oct-14
76731,RASHID ENTERPRISES (PVT.) LIMITED,Peshawar,Private Companies,WAQAR ALI AND CO CHARTERED ACCOUNTANTS,31-Oct-13
42971,RASHID FABRICS (PVT.) LIMITED,Faisalabad,Private Companies,ZAHID JAMIL AND CO. CA,28-Oct-19
33394,RASHID FLOUR & GENERAL MILLS (PVT.) LIMITED,Peshawar,Private Companies,GHAFOOR AND CO. C. A (PESHAWAR),29-Oct-19
15822,RASHID FURQAN COTTON INDUSTRIES (PVT.) LIMITED,Multan,Private Companies,WAQAS AND COMPANY,28-Oct-19
22826,RASHID IMPEX (PVT.) LIMITED,Faisalabad,Private Companies,ZAHID JAMIL AND CO. CA,28-Oct-19
2514,RASHID INDUSTRIES (PRIVATE) LIMITED,Karachi,Private Companies,NAMDAR AND CO. CA,31-Dec-02
438,RASHID TEXTILE MILLS LTD,Karachi,Public Unlisted Companies,SANDHU AND CO. CA,30-Jan-03
12563,RASHID TEXTILE PRINTING INDUSTRIES (PVT.) LIMITED,Faisalabad,Private Companies,ZAHID JAMIL AND CO,28-Oct-19
106359,RASHID TRANSPORT NETWORK (PRIVATE) LIMITED,Lahore,Private Companies,TALAT MEHBOOB AND CO,28-Oct-19
9953,RASHID WOOD WORKS (PVT.) LIMITED,Peshawar,Private Companies,SHAHID AHMAD AND CO. CA,31-Oct-03
30079,RASHIDA TEXTILE AND WEAVING (PVT) LTD,Lahore,Private Companies,SARWAR AWAN AND CO. (LHR),11-Oct-98
55246,RASHIDI TOURS & TRAVELS (PVT.) LIMITED,Peshawar,Private Companies,M.ASIF JAMIL AND CO.,25-Oct-18
61039,RASKOH HAJJ AND UMRA SERVICES (PRIVATE) LIMITED,Quetta,Private Companies,S.MUBEEN AND CO,12-Oct-19
102044,RASONS & COMPANY (PVT.) LIMITED,Islamabad,Private Companies,Zafar Qamar and Co,28-Oct-17
15777,RASOOL AND RASOOL CONSTRUCTION (PVT) LIMITED,Lahore,Private Companies,"VIQAR A. KHAN AND CO. C.A., (LHR)",31-Dec-92
