CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
116643,3D FM CHEMICALS & SERVICES (PRIVATE) LIMITED,Multan,Private Companies,WAQAS AND CO.,20-Apr-18
97578,3D WATER SOLUTIONS (PVT.) LIMITED,Karachi,Private Companies,ANSARI ASSOCIATES,4-Feb-16
65436,3F TECHNOLOGIES (PRIVATE) LIMITED,Multan,Private Companies,ASHIQ AAMER SATTAR AND COMPANY,20-Sep-19
61977,3G COMTECH (PVT.) LIMITED,Lahore,Private Companies,BASHRAT AND CO,20-Oct-09
63068,3G TECHNOLOGIES (GUARANTEE) LIMITED,Islamabad,Companies under section 43,Muniff Ziauddin and Co,28-Oct-19
88076,3G VAS (PVT.) LIMITED,Islamabad,Private Companies,KPMG,31-Oct-18
60614,3GM CONSULTING PAKISTAN (PVT.) LIMITED,Lahore,Private Companies,F.Khalid and Co,28-Oct-19
113224,3H ENTERPRISES (SMC-PRIVATE) LIMITED,Islamabad,Single Member Companies,TARIQ HAINIF AND CO,30-Sep-19
71056,3I LOGIC TRAINING & CONSULTANCY CO. (PVT.) LIMITED,Karachi,Private Companies,MEHMOOD ZUBERIAND CO.,30-Oct-10
74774,3ICON (PVT.) LIMITED,Karachi,Private Companies,Muhammad Adeel Shehzad,28-Mar-11
58062,3K INDUSTRIES (PRIVATE) LIMITED,Peshawar,Private Companies,SAJJAD HASNAIN AND CO,25-Oct-19
145119,3M INDUSTRIES (PRIVATE) LIMITED,Karachi,Private Companies,Tabani and Sheikhani,20-Feb-20
29324,3M PAKISTAN (PRIVATE) LIMITED,Karachi,Private Companies,A. F. FERGUSON AND CO. CA,30-Apr-19
100682,3M TEXTILES (PVT.) LIMITED,Karachi,Private Companies,"M/S NAMDAR and CO., Chartered Accountants",28-Oct-19
107592,3MAJORS (PRIVATE) LIMITED,Peshawar,Private Companies,Mazhar Mehmood and Co (Cost and Management Accountants),20-Apr-17
89941,3N GLOBAL (PVT.) LIMITED,Lahore,Private Companies,Nasir Nouman and Co Chartered Accountants,22-Sep-14
72849,3ONE3 TECHNOLOGIES (PVT.) LIMITED,Multan,Private Companies,RAJA AND COMPANY,18-Jun-10
76640,3P EXPERT (PVT.) LIMITED,Islamabad,Private Companies,Shehzad Malik and Co,22-Jul-11
114373,3R SOLUTIONS (PRIVATE) LIMITED,Karachi,Private Companies,Muhammad Farooque Dandia and Company,31-Jan-18
90161,3R'S WASTE MANAGEMENT (PVT.) LIMITED,Lahore,Private Companies,MUHAMMAD SHAFIQ UR RAFIQ (SHAFIQ AND CO.),31-Oct-19
97438,3RD WORLD STUDIOS (PVT.) LIMITED,Islamabad,Private Companies,ASAD IJAZ AND CO,28-Oct-19
98953,3S BUSINESS TECHNOLOGIES (PVT.) LIMITED,Islamabad,Private Companies,Waseem Associates,29-Oct-19
51796,3S PHARMACEUTICALS (PVT.) LIMITED,Lahore,Private Companies,AHMAD USMAN SHABBIR AND CO. CA,28-Oct-19
107964,3S SOLUTIONS (PRIVATE) LIMITED,Lahore,Private Companies,KARAMAT CHAUDHARY AND CO,28-Oct-19
86120,3S TECHNO SERVICES (PVT.) LIMITED,Karachi,Private Companies,AG HABIB AND COMPANY,31-Oct-15
84238,3SC TECHNOLOGIES (PVT.) LIMITED,Islamabad,Private Companies,ELAHI ASSOCIATES,28-Oct-19
