Sr. No.,CUIN,Company Name,Incorporation Date / Registration Date,CRO Name
4887,0038827,FORTUNE PUBLICATIONS (PRIVATE) LIMITED,2/23/98,Karachi
4888,0005284,DEENS CARPETS ( PRIVATE ) LIMITED,6/4/76,Lahore
4889,0036111,CROSWAY (PVT) LIMITED,1/29/96,Lahore
4890,0011630,INDUSTRIAL WASTE REFORMERS (PRIVATE)  LIMITED,5/6/84,Karachi
4891,0073389,WALIMEX (PVT.) LIMITED,8/20/10,Lahore
4892,0042634,PAK MT & ALLIED SERVICES (PRIVATE) LIMITED,6/29/01,Islamabad
4893,0040622,AGRI EXPORT (PRIVATE) LIMITED,10/14/99,Karachi
4894,0001786,PAKISTAN POULTRY PRODUCTION (PRIVATE) LIMITED,10/22/63,Karachi
4895,0039572,CYBERLINX  PAKISTAN PVT LTD,10/27/98,Lahore
4896,0037550,CRYSTAL EXPRESS (PVT) LTD,12/30/96,Lahore
4897,0064125,ZAFAR RADIO (PRIVATE) LIMITED,1/23/08,Quetta
4898,0015592,GOHAR AMIR INDUSTRIES (PVT.) LIMITED,2/3/87,Lahore
4899,0003548,INVESTMENT ADVISERS (PVT.) LTD.,12/13/71,Karachi
4900,0030794,CAPITAL POLYPROPYLENE(PVT) LIMITED,7/19/93,Lahore
4901,0040894,CONTINENTAL TEL-FONE (PRIVATE) LIMITED,1/25/00,Lahore
4902,0018573,COMPUTER GRAPHICS AND SYSTEMS (PRIVATE) LIMITED,9/18/88,Lahore
4903,0019537,GULF CARGO (PRIVATE) LIMITED,4/24/89,Lahore
4904,0015821,DAWN TRADERS (PVT.) LIMITED,3/17/87,Lahore
4905,0029190,DAVIS PLAZA (PVT) LTD,12/23/92,Lahore
4906,0018484,GHAZALA HOSPITAL (PVT) LIMITED,8/31/88,Lahore
4907,0073375,AZM-E-NAU (PVT.) LIMITED,8/19/10,Islamabad
4908,0040940,VOGUE COMMUNICATIONS (PRIVATE) LIMITED,2/4/00,Karachi
4909,0015495,F.ZAHID SURGICAL (PRIVATE) LIMITED,1/12/87,Lahore
4910,0026857,DAE DUCK CORPORATION (PRIVATE) LIMITED,4/11/92,Lahore
4911,0043417,JOINT LINKS MARKETING (PRIVATE) LIMITED.,3/4/02,Karachi
4912,0012526,GHAUSIA CORPORATION (PRIVATE) LIMITED,12/20/84,Lahore
4913,0041883,ASIA ONLINE (PRIVATE) LIMITED.,11/20/00,Karachi
4914,0040588,MEDIA MAGIC (PRIVATE) LIMITED,10/2/99,Islamabad
4915,0006447,SEAGULL PVT  LIMITED (ORG),9/17/78,Lahore
4916,0045750,ASIA GEOPHYSICAL SERVICES (PVT.) LIMITED,7/21/03,Islamabad
4917,0045568,KOHISTAN AWAN FLYING COACH AND ROAD RUNNERS TRANSPORT COMPANY (PVT.) LIMITED,6/20/03,Lahore
4918,0042431,LEFT OF CENTER (PVT.) LTD.,5/17/01,Lahore
4919,0045617,SOOPER FUELS (PVT.) LIMITED,6/27/03,Islamabad
4920,0003326,HASSAN RE-ROLLING MILLS (PRIVATE) LIMITED,1/30/71,Quetta
4921,0006612,DEHKAN INTERNATIONAL (PVT) LTD,12/30/78,Lahore
4922,0043715,NATIVUS RESOURCES LIMITED,5/20/02,Islamabad
4923,0042231,TSA (PRIVATE) LIMITED,3/22/01,Karachi
